 The  Ball  Game,'Documentary'|  'Short'|  'Sport'|1800's|short|less  than  5  minutes,The  Heir  to  Skjoldborg,,Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Boxing  Match;  or    Glove  Contest,'Short'|  'Sport'|1800's|short|less  than  5  minutes,Betrayed  by  a  Handprint,'Short'|  'short',Jumping  the  Blanket,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Bohemian  Encampment,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,One  Busy  Hour,'Short'|  'short'|  'less  than  5  minutes',Jumping  the  Blanket,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 A  Merry-Go-Round,'Short'|1800's|short|less  than  5  minutes,Ali  Baba  and  the  Forty  Thieves,,Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Coronation  of  a  Village  Maiden,'Short'|1800's|short|less  than  5  minutes,Alcohol  and  Its  Victims,'Short'|  'short'|  'less  than  5  minutes',The  Bohemian  Encampment,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Conjurer  Making  Ten  Hats  in  Sixty  Seconds,'Fantasy'|  'Short'|1800's|short|less  than  5  minutes,Les  clowns,'Short'|  'short'|  'less  than  5  minutes',Akrobatisches  Potpourri,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Unloading  the  Boat,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Army  Life;  or    How  Soldiers  Are  Made:  Mounted  Infantry,'Short'|  'Documentary'|  'short'|  'less  than  5  minutes',Rough  Sea  at  Dover,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Demolition  of  a  Wall,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,A  Midsummer  Night's  Dream,'Short'|  'short',Smarter  than  the  Teacher,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Automobiles  Starting  a  Race,'Short'|  'Sport'|1800's|short|less  than  5  minutes,At  the  Crossroads  of  Life,'Short'|  'short',Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Officers  of  French  Army  Leaving  Service,'Short'|1800's|short|less  than  5  minutes,What's  Your  Hurry?,,The  Arrival  of  a  Train,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
